"id","author","title","description","url","urlToImage","publishedAt","content"
"1","Joseph Walker","Crispr Gene-Editing Drugs Show Promise in Preliminary Study","Intellia Therapeutics said two of its experimental Crispr treatments produced positive results in early-stage trials.","https://www.wsj.com/articles/crispr-gene-editing-drugs-show-promise-in-preliminary-study-11663327063","https://images.wsj.net/im-624113/social","2022-09-16T11:21:03Z","Intellia Therapeutics Inc. reported encouraging early-stage study results for its Crispr gene-editing treatments, the latest sign that the pathbreaking technology could result in commercially avail… [+266 chars]"
"2","null","在岸人民币周五跌近400点、紧随离岸失守7元大关；美元指数再度急涨 - Wall Street Journal","<ol><li>在岸人民币周五跌近400点、紧随离岸失守7元大关；美元指数再度急涨  Wall Street Journal</li><li>人民币汇率破“7”了！有哪些影响？十问十答  瞭望东方周刊</li><li>离岸人民币汇率“破7”  财新网金融频道</li><li>人民币兑美元汇率两年多来首次破7  Wall Street Journal</li><li>华商基金张永志：人民币破“7”影响及后续汇率走势  新浪</li><li>在Google 新闻上查看完整报道</li></ol>","https://cn.wsj.com/articles/在岸人民币周五跌近400点-紧随离岸失守7元大关-美元指数再度急涨-11663319105","https://images.wsj.net/im-33583/social","2022-09-16T09:05:00Z","400716:3017.01666.97753910.56%17.00337.025020207816:3017.03260.27%7.0368..."
"3","wsj","Peter Thiel, Losing Arizona...","He and Donald Trump helped Blake Masters get the nomination. Where are they now?","https://www.wsj.com/articles/peter-thiel-losing-arizona-blake-masters-funding-gop-super-pac-inflation-power-voters-republicans-filibuster-11663280414","https://images.wsj.net/im-624388/social","2022-09-16T02:00:03Z","Opinion  Peter Thiel, Losing ArizonaListen to article(3 minutes)If Republicans lose a tantalizingly close Arizona Senate race, don’t place the blame entirely at the feet of nominee Blake Masters. Lo… [+1064 chars]"
"4","The Wall Street Journal","Pop Music’s Tension Between New And Familiar","The longevity of old songs is an even greater mystery when what every era’s fans want is the fresh, the startling, the new. – The Wall Street Journal","https://www.wsj.com/articles/lets-do-it-book-review-history-pop-music-hit-parade-11662733576","https://images.wsj.net/im-619041/social","2022-09-15T22:01:00Z","At a poetry festival in Dublin a few years ago, I found myself in a group of mostly middle-aged folks from all over the English-speaking world. Out of nowhere, someone began to sing Its a Long Way to… [+1151 chars]"
"5","Meghan Bobrowsky","California Gov. Gavin Newsom Signs Law Requiring Social Media Companies to Consider Children’s Health","California Gov. Gavin Newsom Signs Law Requiring Social Media Companies to Consider Children’s Healthwsj.com","https://www.wsj.com/articles/california-gov-gavin-newsom-signs-law-requiring-social-media-companies-to-consider-childrens-health-11663277455","https://images.wsj.net/im-624234/social","2022-09-15T21:36:51Z","Social-media companies that operate in California will have to consider the health and well-being of children under a first-of-its-kind bill signed into law Thursday by Gov. Gavin Newsom.Called the… [+292 chars]"
"6","Alyssa Lukpat","Dems Scrambling...","Dems Scrambling...    (Third column, 5th story, link)    Related stories:Hispanics pass whites to become largest group in Texas...Abbott sends busloads of migrants outside Kamala home...New York relocates arrivals -- to Florida!DeSantis …","https://www.wsj.com/articles/florida-sends-50-migrants-on-planes-to-marthas-vineyard-11663253106","https://images.wsj.net/im-623712/social","2022-09-15T21:19:40Z","An accelerating campaign by Republican governors to send migrants to Democratic strongholds, initially seen by many Democratic officials as a political stunt, is now sending those officials scramblin… [+353 chars]"
"7","Aylin Woodward","Saturn Ring Mystery Possibly Solved After Four Centuries of Uncertainty - The Wall Street Journal","<ol><li>Saturn Ring Mystery Possibly Solved After Four Centuries of Uncertainty  The Wall Street Journal</li><li>Saturn's Missing Moon Might Be Hiding In Its Rings, Scientists Suggest  CNET</li><li>Saturn's rings could have come from a destroyed moon name…","https://www.wsj.com/articles/saturn-ring-mystery-possibly-solved-after-four-centuries-of-uncertainty-11663264812","https://images.wsj.net/im-621451/social","2022-09-15T18:00:00Z","Saturn isnt the only ringed planet in our solar system, but its iconic girdle of ice and dust is by far the most spectacular. And a new study gives a fresh explanation of how and when Saturns rings f… [+614 chars]"
"8","Ben Eisen","Mortgage Rates Top 6% for the First Time Since the 2008 Financial Crisis - The Wall Street Journal","<ol><li>Mortgage Rates Top 6% for the First Time Since the 2008 Financial Crisis  The Wall Street Journal</li><li>Mortgage rates top 6% for the first time since 2008  CNN</li><li>Housing: Mortgage rates breach 6% for first time since 2008  Yahoo Finance…","https://www.wsj.com/articles/mortgage-rates-hit-6-02-highest-since-the-financial-crisis-11663250402","https://images.wsj.net/im-623419/social","2022-09-15T15:34:00Z","Mortgage rates topped 6% this week, their highest level since 2008, giving a jolt to home buyers who last year were paying less than half that.The average rate on a 30-year fixed mortgage climbed t… [+281 chars]"
"9","Alexandra Samuel","How I Am Reducing the Stress of Returning to Business Travel - The Wall Street Journal","Social anxiety. Covid worries. Family separation. I’m learning that there are ways to make it all a little bit easier.","https://www.wsj.com/articles/reduce-travel-business-stress-returning-11663180168","https://images.wsj.net/im-621836/social","2022-09-15T14:00:00Z","As I loaded my laptop, iPad and toiletries back into my carry-on bag after passing through airport security, the fellow packing up next to me commented on one of my gadgets. Before I knew it, we were… [+645 chars]"
"10","Quentin Webb","人民币跌破1美元兑人民币7元关口 - Wall Street Journal","<ol><li>人民币跌破1美元兑人民币7元关口  Wall Street Journal</li><li>人民币汇率破“7”了！有哪些影响？十问十答  华尔街见闻</li><li>離岸人民幣兌美元跌破7.0關口  大纪元</li><li>人民币汇率破7：为什么，啥影响，怎么办？  新浪</li><li>离岸人民币兑美元 破7！ 在岸人民币也岌岌可危中國報  China Press</li><li>在Google 新闻上查看完整报道</li></ol>","https://cn.wsj.com/articles/人民币跌破1美元兑人民币7元关口-11663247707","https://images.wsj.net/im-618633/social","2022-09-15T13:15:00Z",""
